"filename", "language", "C++", "Dart", "YAML", "CMake", "Markdown", "Properties", "XML", "Java", "HTML", "comment", "blank", "total"
"f:\androidstudio\clockly\lib\features\analys\widget\indicator.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"f:\androidstudio\clockly\lib\features\analys\widget\information_card.dart", "Dart", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 8, 83
"f:\androidstudio\clockly\lib\features\analys\widget\list_infomation.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"f:\androidstudio\clockly\lib\features\analys\widget\note_chart.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 8, 56
"f:\androidstudio\clockly\lib\features\analys\widget\productivity_trend_card.dart", "Dart", 0, 176, 0, 0, 0, 0, 0, 0, 0, 1, 15, 192
"f:\androidstudio\clockly\lib\features\analys\widget\weekly_performance_card.dart", "Dart", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 7, 111
"f:\androidstudio\clockly\lib\features\auth\bidings\forgot_password_bidings.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"f:\androidstudio\clockly\lib\features\auth\bidings\login_bidings.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"f:\androidstudio\clockly\lib\features\auth\bidings\sign_up_bidings.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"f:\androidstudio\clockly\lib\features\auth\bidings\splash_bidings.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"f:\androidstudio\clockly\lib\features\auth\controllers\auth_helper.dart", "Dart", 0, 182, 0, 0, 0, 0, 0, 0, 0, 1, 23, 206
"f:\androidstudio\clockly\lib\features\auth\controllers\forgot_password_controller.dart", "Dart", 0, 64, 0, 0, 0, 0, 0, 0, 0, 2, 12, 78
"f:\androidstudio\clockly\lib\features\auth\controllers\login_controller.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 9, 48
"f:\androidstudio\clockly\lib\features\auth\controllers\otp_controller.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 3, 13, 78
"f:\androidstudio\clockly\lib\features\auth\controllers\sign_up_controller.dart", "Dart", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 11, 61
"f:\androidstudio\clockly\lib\features\auth\controllers\splash_controller.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"f:\androidstudio\clockly\lib\features\auth\model\user_model.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"f:\androidstudio\clockly\lib\features\auth\splash\splash_page.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 3, 55
"f:\androidstudio\clockly\lib\features\auth\splash\widget\bottom_text.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"f:\androidstudio\clockly\lib\features\auth\splash\widget\loading_process.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"f:\androidstudio\clockly\lib\features\auth\splash\widget\main_logo.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"f:\androidstudio\clockly\lib\features\auth\validators\validate.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 12, 61
"f:\androidstudio\clockly\lib\features\auth\views\page_forgot_password.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"f:\androidstudio\clockly\lib\features\auth\views\page_login.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 10, 52
"f:\androidstudio\clockly\lib\features\auth\views\page_reset_password.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"f:\androidstudio\clockly\lib\features\auth\views\page_sign_up.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"f:\androidstudio\clockly\lib\features\auth\widgets\bottom_button.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"f:\androidstudio\clockly\lib\features\auth\widgets\form_forgot_password.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"f:\androidstudio\clockly\lib\features\auth\widgets\form_login.dart", "Dart", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 8, 76
"f:\androidstudio\clockly\lib\features\auth\widgets\form_reset_password.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68
"f:\androidstudio\clockly\lib\features\auth\widgets\form_sign_up.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 8, 93
"f:\androidstudio\clockly\lib\features\auth\widgets\heading_auth.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"f:\androidstudio\clockly\lib\features\auth\widgets\main_icon.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"f:\androidstudio\clockly\lib\features\auth\widgets\main_theme.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 5, 60
"f:\androidstudio\clockly\lib\features\calendar\controller\calendar_controller.dart", "Dart", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 16, 74
"f:\androidstudio\clockly\lib\features\calendar\view\page_calendar.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
"f:\androidstudio\clockly\lib\features\calendar\widget\custom_table_calendar.dart", "Dart", 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 14, 167
"f:\androidstudio\clockly\lib\features\calendar\widget\today_task.dart", "Dart", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 10, 110
"f:\androidstudio\clockly\lib\features\leader_board\controller\team_controller.dart", "Dart", 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 42, 237
"f:\androidstudio\clockly\lib\features\leader_board\view\page_leader_board.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 8, 59
"f:\androidstudio\clockly\lib\features\leader_board\widget\friend_requests_bottom_sheet.dart", "Dart", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 10, 150
"f:\androidstudio\clockly\lib\features\leader_board\widget\leader_board.dart", "Dart", 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 17, 251
"f:\androidstudio\clockly\lib\features\leader_board\widget\leaderboard_header.dart", "Dart", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 6, 107
"f:\androidstudio\clockly\lib\features\leader_board\widget\leaderboard_search_bar.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"f:\androidstudio\clockly\lib\features\leader_board\widget\search_friend_bottom_sheet.dart", "Dart", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 10, 166
"f:\androidstudio\clockly\lib\features\page_chat\model\local_chat_message.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"f:\androidstudio\clockly\lib\features\page_chat\views\page_chat.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"f:\androidstudio\clockly\lib\features\page_chat\widgets\chat_empty_state.dart", "Dart", 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 4, 110
"f:\androidstudio\clockly\lib\features\page_chat\widgets\chat_messages_view.dart", "Dart", 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 16, 233
"f:\androidstudio\clockly\lib\features\page_chat\widgets\heading_chat.dart", "Dart", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 5, 69
"f:\androidstudio\clockly\lib\features\page_chat\widgets\main_chat_body.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"f:\androidstudio\clockly\lib\features\page_chat\widgets\messager_bar.dart", "Dart", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 8, 109
"f:\androidstudio\clockly\lib\features\page_chat\widgets\quick_task_dialog.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"f:\androidstudio\clockly\lib\features\page_chat\widgets\quick_task_header.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 3, 58
"f:\androidstudio\clockly\lib\features\page_chat\widgets\quick_task_input.dart", "Dart", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 5, 76
"f:\androidstudio\clockly\lib\features\page_main_home.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"f:\androidstudio\clockly\lib\features\setting\bidings\edit_bidings.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"f:\androidstudio\clockly\lib\features\setting\bidings\setting_binding.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"f:\androidstudio\clockly\lib\features\setting\controller\edit_profile_controller.dart", "Dart", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 20, 102
"f:\androidstudio\clockly\lib\features\setting\controller\notification_controller.dart", "Dart", 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 37, 163
"f:\androidstudio\clockly\lib\features\setting\controller\option_plan_controller.dart", "Dart", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 25, 106
"f:\androidstudio\clockly\lib\features\setting\controller\settings_controller.dart", "Dart", 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 25, 168
"f:\androidstudio\clockly\lib\features\setting\views\page_edit_profile.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"f:\androidstudio\clockly\lib\features\setting\views\page_settings.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 10, 58
"f:\androidstudio\clockly\lib\features\setting\views\page_subcription.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
